transaction_id,customer_id,customer_email,amount,transaction_date,status
TXN_093,CUST_193,phung.gia@gmail.com,320000,2026-06-11,SUCCESS
TXN_094,CUST_194,quach.hoa@gmail.com,150000,2026-06-11,SUCCESS
TXN_095,CUST_195,tang.lan@gmail.com,95000,2026-06-11,SUCCESS
TXN_096,CUST_196,dinh.minh@gmail.com,120000,2026-06-11,SUCCESS
TXN_097,CUST_197,hoang.nam@gmail.com,450000,2026-06-11,SUCCESS
TXN_098,CUST_198,ly.oanh@gmail.com,60000,2026-06-11,SUCCESS
TXN_099,CUST_199,diep.phong@gmail.com,180000,2026-06-11,SUCCESS
TXN_100,CUST_200,trieu.quynh@gmail.com,250000,2026-06-11,SUCCESS
TXN_101,CUST_101,nguyen.an@gmail.com,150000,2026-06-12,SUCCESS
TXN_102,CUST_102,tran.binh@yahoo.com,500000,2026-06-12,FAILED
TXN_103,CUST_103,le.chi@gmail.com,250000,2026-06-12,SUCCESS
TXN_104,CUST_104,hoang.dung@outlook.com,75000,2026-06-12,SUCCESS
TXN_105,CUST_105,vu.em@gmail.com,120000,2026-06-12,SUCCESS
TXN_106,CUST_106,pham.gia@gmail.com,300000,2026-06-12,SUCCESS
TXN_107,CUST_107,dang.hoa@gmail.com,99000,2026-06-12,SUCCESS
TXN_108,CUST_108,bui.lan@gmail.com,1250000,2026-06-12,SUCCESS
TXN_109,CUST_109,ngo.minh@gmail.com,450000,2026-06-12,SUCCESS
TXN_110,CUST_110,ngo.minh@gmail.com,150000,2026-06-12,SUCCESS
TXN_111,CUST_111,do.nam@gmail.com,180000,2026-06-13,SUCCESS
TXN_112,CUST_112,vo.oanh@gmail.com,670000,2026-06-13,FAILED
TXN_113,CUST_113,phung.phong@gmail.com,55000,2026-06-13,SUCCESS
TXN_114,CUST_114,quach.quynh@gmail.com,210000,2026-06-13,SUCCESS
TXN_115,CUST_115,tang.tai@gmail.com,150000,2026-06-13,SUCCESS
TXN_116,CUST_116,dinh.tu@gmail.com,135000,2026-06-13,SUCCESS
TXN_117,CUST_117,hoang.viet@gmail.com,90000,2026-06-13,SUCCESS
TXN_118,CUST_118,ly.xuan@gmail.com,410000,2026-06-13,SUCCESS
TXN_119,CUST_119,diep.yen@gmail.com,110000,2026-06-13,SUCCESS
TXN_120,CUST_120,trieu.vy@gmail.com,85000,2026-06-13,SUCCESS
TXN_121,CUST_121,phan.quan@gmail.com,320000,2026-06-14,SUCCESS
TXN_122,CUST_122,nguyen.long@gmail.com,150000,2026-06-14,FAILED
TXN_123,CUST_123,tran.linh@gmail.com,95000,2026-06-14,SUCCESS
TXN_124,CUST_124,le.mai@gmail.com,120000,2026-06-14,SUCCESS
TXN_125,CUST_125,pham.nam@gmail.com,450000,2026-06-14,SUCCESS
TXN_126,CUST_126,hoang.phuc@gmail.com,60000,2026-06-14,SUCCESS
TXN_127,CUST_127,vu.quan@gmail.com,180000,2026-06-14,SUCCESS
TXN_128,CUST_128,bui.son@gmail.com,250000,2026-06-14,SUCCESS
TXN_129,CUST_129,dang.thanh@gmail.com,350000,2026-06-14,SUCCESS
TXN_130,CUST_130,ngo.tu@gmail.com,500000,2026-06-14,SUCCESS
TXN_131,CUST_131,do.van@gmail.com,150000,2026-06-15,SUCCESS
TXN_132,CUST_132,vo.xuan@gmail.com,85000,2026-06-15,SUCCESS
TXN_133,CUST_133,phung.yen@gmail.com,210000,2026-06-15,SUCCESS
TXN_134,CUST_134,quach.an@gmail.com,135000,2026-06-15,FAILED
TXN_135,CUST_135,tang.binh@gmail.com,90000,2026-06-15,SUCCESS
TXN_136,CUST_136,dinh.chi@gmail.com,410000,2026-06-15,SUCCESS
TXN_137,CUST_137,hoang.dung@gmail.com,110000,2026-06-15,SUCCESS
TXN_138,CUST_138,ly.em@gmail.com,85000,2026-06-15,SUCCESS
TXN_139,CUST_139,diep.gia@gmail.com,320000,2026-06-15,SUCCESS
TXN_140,CUST_140,trieu.hoa@gmail.com,150000,2026-06-15,SUCCESS
TXN_141,CUST_141,phan.lan@gmail.com,95000,2026-06-16,SUCCESS
TXN_142,CUST_142,nguyen.minh@gmail.com,120000,2026-06-16,SUCCESS
TXN_143,CUST_143,tran.nam@gmail.com,450000,2026-06-16,SUCCESS
TXN_144,CUST_144,le.oanh@gmail.com,60000,2026-06-16,FAILED
TXN_145,CUST_145,pham.phong@gmail.com,180000,2026-06-16,SUCCESS
TXN_146,CUST_146,hoang.quynh@gmail.com,250000,2026-06-16,SUCCESS
TXN_147,CUST_147,vu.tai@gmail.com,350000,2026-06-16,SUCCESS
TXN_148,CUST_148,bui.tu@gmail.com,500000,2026-06-16,SUCCESS
TXN_149,CUST_149,dang.viet@gmail.com,150000,2026-06-16,SUCCESS
TXN_150,CUST_150,ngo.xuan@gmail.com,85000,2026-06-16,SUCCESS
TXN_151,CUST_151,do.yen@gmail.com,210000,2026-06-17,SUCCESS
TXN_152,CUST_152,vo.an@gmail.com,135000,2026-06-17,SUCCESS
TXN_153,CUST_153,phung.binh@gmail.com,90000,2026-06-17,SUCCESS
TXN_154,CUST_154,quach.chi@gmail.com,410000,2026-06-17,SUCCESS
TXN_155,CUST_155,tang.dung@gmail.com,110000,2026-06-17,SUCCESS
TXN_156,CUST_156,dinh.em@gmail.com,85000,2026-06-17,SUCCESS
TXN_157,CUST_157,hoang.gia@gmail.com,320000,2026-06-17,FAILED
TXN_158,CUST_158,ly.hoa@gmail.com,150000,2026-06-17,SUCCESS
TXN_159,CUST_159,diep.lan@gmail.com,95000,2026-06-17,SUCCESS
TXN_160,CUST_160,trieu.minh@gmail.com,120000,2026-06-17,SUCCESS
TXN_161,CUST_161,phan.nam@gmail.com,450000,2026-06-18,SUCCESS
TXN_162,CUST_162,nguyen.oanh@gmail.com,60000,2026-06-18,SUCCESS
TXN_163,CUST_163,tran.phong@gmail.com,180000,2026-06-18,SUCCESS
TXN_164,CUST_164,le.quynh@gmail.com,250000,2026-06-18,SUCCESS
TXN_165,CUST_165,pham.tai@gmail.com,350000,2026-06-18,SUCCESS
TXN_166,CUST_166,hoang.tu@gmail.com,500000,2026-06-18,SUCCESS
TXN_167,CUST_167,vu.viet@gmail.com,150000,2026-06-18,SUCCESS
TXN_168,CUST_168,bui.xuan@gmail.com,85000,2026-06-18,SUCCESS
TXN_169,CUST_169,dang.yen@gmail.com,210000,2026-06-18,FAILED
TXN_170,CUST_170,ngo.an@gmail.com,135000,2026-06-18,SUCCESS
TXN_171,CUST_171,do.binh@gmail.com,90000,2026-06-19,SUCCESS
TXN_172,CUST_172,vo.chi@gmail.com,410000,2026-06-19,SUCCESS
TXN_173,CUST_173,phung.dung@gmail.com,110000,2026-06-19,SUCCESS
TXN_174,CUST_174,quach.em@gmail.com,85000,2026-06-19,SUCCESS
TXN_175,CUST_175,tang.gia@gmail.com,320000,2026-06-19,SUCCESS
TXN_176,CUST_176,dinh.hoa@gmail.com,150000,2026-06-19,SUCCESS
TXN_177,CUST_177,hoang.lan@gmail.com,95000,2026-06-19,SUCCESS
TXN_178,CUST_178,ly.minh@gmail.com,120000,2026-06-19,SUCCESS
TXN_179,CUST_179,diep.nam@gmail.com,450000,2026-06-19,SUCCESS
TXN_180,CUST_180,trieu.oanh@gmail.com,60000,2026-06-19,SUCCESS
TXN_181,CUST_181,phan.phong@gmail.com,180000,2026-06-20,SUCCESS
TXN_182,CUST_182,nguyen.quynh@gmail.com,250000,2026-06-20,SUCCESS
TXN_183,CUST_183,tran.tai@gmail.com,350000,2026-06-20,SUCCESS
TXN_184,CUST_184,le.tu@gmail.com,500000,2026-06-20,SUCCESS
TXN_185,CUST_185,pham.viet@gmail.com,150000,2026-06-20,SUCCESS
TXN_186,CUST_186,hoang.xuan@gmail.com,85000,2026-06-20,FAILED
TXN_187,CUST_187,vu.yen@gmail.com,210000,2026-06-20,SUCCESS
TXN_188,CUST_188,bui.an@gmail.com,135000,2026-06-20,SUCCESS
TXN_189,CUST_189,dang.binh@gmail.com,90000,2026-06-20,SUCCESS
TXN_190,CUST_190,ngo.chi@gmail.com,410000,2026-06-20,SUCCESS
TXN_191,CUST_191,do.dung@gmail.com,110000,2026-06-21,SUCCESS
TXN_192,CUST_192,vo.em@gmail.com,85000,2026-06-21,SUCCESS
TXN_193,CUST_193,phung.gia@gmail.com,320000,2026-06-21,SUCCESS
TXN_194,CUST_194,quach.hoa@gmail.com,150000,2026-06-21,SUCCESS
TXN_195,CUST_195,tang.lan@gmail.com,95000,2026-06-21,SUCCESS
TXN_196,CUST_196,dinh.minh@gmail.com,120000,2026-06-21,SUCCESS
TXN_197,CUST_197,hoang.nam@gmail.com,450000,2026-06-21,FAILED
TXN_198,CUST_198,ly.oanh@gmail.com,60000,2026-06-21,SUCCESS
TXN_199,CUST_199,diep.phong@gmail.com,180000,2026-06-21,SUCCESS
TXN_200,CUST_200,trieu.quynh@gmail.com,250000,2026-06-21,SUCCESS
